Date,id,GDP Growth,COMPOSITE OUTPUT INDEX,PMI-Manufacturing,PMI-Manu-Employment,PMI-Serv-Employment,Employment-Composite,Input Prices,Output Prices,COMPOSITE OUTPUT INDEX( 0),Manufacturing Index (0),Employment(0),Input Prices(0),Output Prices(0),Covid dummy,Inflation rate (Q-O-Q),period,covid,y_lag
2012-Q2,1,7.185915421571946,56.9754971940152,54.914163589999994,49.94121490198335,50.196470460842974,51.42983682295743,60.035069919112736,56.952476209881645,0.13950994388030394,0.09828327179999988,0.02859673645914853,0.20070139838225473,0.13904952419763292,1,3.21,2012Q2,1,
2012-Q3,2,5.653219301665917,54.9185351252683,52.82216644666667,51.945485607786146,51.178258189972865,51.814694252130636,56.87909782853944,55.58820696798398,0.09837070250536599,0.05644332893333342,0.03629388504261272,0.13758195657078887,0.11176413935967958,1,3.38,2012Q3,1,7.185915421571946
2012-Q4,3,4.366412593147094,54.53070500875018,53.74819640666667,52.72739799485439,51.38619499961476,50.56076121759974,56.05000456561887,54.19238738863618,0.09061410017500364,0.07496392813333344,0.011215224351994806,0.1210000913123774,0.08384774777272355,1,2.06,2012Q4,1,5.653219301665917
2013-Q1,4,6.306254813471285,54.321063598158084,53.12361037666667,51.08745745740554,50.30085395194633,51.06557059023091,55.12384425446801,53.936167237846014,0.08642127196316167,0.06247220753333337,0.021311411804618246,0.10247688508936022,0.07872334475692028,1,1.47,2013Q1,1,4.366412593147094
2013-Q2,5,7.036868243820795,54.210117127814954,50.470537603333334,51.13268258921835,51.031332680465546,51.33978439041166,53.73972302702698,51.698057088497116,0.08420234255629908,0.009410752066666674,0.02679568780823317,0.07479446054053966,0.03396114176994232,1,2.02,2013Q2,1,6.306254813471285
2013-Q3,6,6.871465495385493,51.1324520321141,49.408695316666666,51.221981583099804,51.38441152423435,50.58084118744242,56.519734103725256,51.40651437328387,0.022649040642282046,-0.01182609366666668,0.011616823748848332,0.1303946820745051,0.028130287465677382,1,4.2,2013Q3,1,7.036868243820795
2013-Q4,7,5.430457466900866,47.3802314088817,50.549218223333334,50.626995662856324,50.56962681823969,50.097993663940066,55.786117952632985,52.24444467514734,-0.05239537182236603,0.010984364466666676,0.001959873278801325,0.11572235905265969,0.04488889350294684,1,2.52,2013Q4,1,6.871465495385493
2014-Q1,8,7.848670903085442,48.02815050155433,51.74296800333334,50.14962826153218,50.075582571641235,50.52062382862085,54.59525909009844,51.2631699878212,-0.03943698996891342,0.03485936006666677,0.010412476572416977,0.09190518180196876,0.02526339975642401,1,-1.22,2014Q1,1,5.430457466900866
2014-Q2,9,8.347201778863411,49.60030054318796,51.39410813,50.39381576372916,50.56845833399118,50.467112579109475,54.47525296899795,51.74345494934387,-0.007993989136240743,0.027882162599999986,0.009342251582189504,0.08950505937995899,0.03486909898687742,1,1.82,2014Q2,1,7.848670903085442
2014-Q3,10,6.227694812931666,51.32536938356867,52.12153223333333,50.77411920727039,50.333785458039486,50.06246459691023,54.20370209617854,51.09070528768132,0.02650738767137341,0.04243064466666666,0.0012492919382046353,0.08407404192357078,0.021814105753626335,1,3.45,2014Q3,1,8.347201778863411
2014-Q4,11,7.228715074820942,52.13064332012911,53.1372494,49.925848181305184,50.12816362979623,49.81024821947845,50.756449660761426,50.42309340873487,0.042612866402582196,0.06274498800000003,-0.0037950356104309436,0.01512899321522852,0.00846186817469743,1,0.0,2014Q4,1,6.227694812931666
2015-Q1,12,7.426677385705266,52.49338468010469,52.05469810666667,49.52908613325628,49.93026840724285,49.962884579051,51.73434875560309,50.57764581125904,0.049867693602093796,0.041093962133333405,-0.0007423084189800022,0.03468697511206173,0.01155291622518078,1,-0.06,2015Q1,1,7.228715074820942
2015-Q2,13,7.704383951489046,53.324261119882976,51.75648597,49.92975606529652,49.970225950207364,50.470120024673044,52.56729644534415,51.423989712314345,0.06648522239765953,0.0351297194,0.009402400493460875,0.051345928906882964,0.0284797942462869,1,1.64,2015Q2,1,7.426677385705266
2015-Q3,14,7.568024555192621,50.975326942807236,52.09334611333333,50.227065157079096,50.56496224721449,50.31330941294966,50.55274635842099,50.18693861353153,0.019506538856144714,0.04186692226666665,0.006266188258993139,0.011054927168419795,0.003738772270630619,1,2.33,2015Q3,1,7.704383951489046
