Date,id,GDP Growth,Output,Normalization of PMI,Normalization of GDP Growth,New Composite Index,Real GDP Growth Rate,Output.1,New Orders,Employment,Input Prices,Output Prices,Future Output,Output0,New Orders0,Employment0,Input Prices0,Output Prices0,Future Output0,Covid dummy,CPI (Q-O-Q),WPI(Q-O-Q),period,gdp_lead,infl,real_proxy,y_lag,covid
2012-Q2,1,4.761339831818568,54.91853512526828,0.9166401105240113,0.628597975974856,0.30643759702138307,3.975915421571946,54.91853512526828,56.78214869255951,51.02878887111026,59.534258215782415,56.71028115818765,76.22911592745362,4.918535125268278,6.78214869255951,1.0287888711102582,9.534258215782415,6.710281158187648,26.22911592745362,0.0,3.21,5.1,2012Q2,7.185915421571946,3.21,3.975915421571946,4.761339831818568,0.0
2012-Q3,2,7.185915421571946,54.53070500875018,0.9064852805729681,0.6837823466877112,0.8174041070188653,2.2732193016659172,54.53070500875018,55.60676820115373,51.75544468069018,56.555882516342876,55.436859837425914,70.85254108186072,4.530705008750182,5.606768201153727,1.7554446806901822,6.555882516342876,5.436859837425914,20.85254108186072,0.0,3.38,1.71,2012Q3,5.653219301665917,3.38,2.2732193016659172,7.185915421571946,0.0
2012-Q4,3,5.653219301665917,54.321063598158084,0.9009960914033066,0.6488975317005026,0.800156667522185,2.30641259314709,54.321063598158084,56.150203224538096,50.90516326549592,56.09401662625233,54.22624422442497,71.45510024211187,4.321063598158084,6.150203224538096,0.9051632654959221,6.094016626252333,4.226244224424967,21.455100242111868,0.0,2.06,0.34,2012Q4,4.366412593147094,2.06,2.3064125931470936,5.653219301665917,0.0
2013-Q1,4,4.366412593147094,54.210117127814954,0.8980911015842644,0.6196092642037919,0.7866983666320755,4.836254813471285,54.210117127814954,55.45602174622004,51.17433033273094,55.85364285840267,54.27868763555666,69.35868621763132,4.210117127814954,5.456021746220038,1.1743303327309391,5.853642858402672,4.278687635556658,19.358686217631316,0.0,1.47,0.99,2013Q1,6.306254813471285,1.47,4.836254813471285,4.366412593147094,0.0
2013-Q2,5,6.306254813471285,51.13245203211405,0.8175064219474877,0.6637608974476567,0.7560082121475553,5.016868243820795,51.13245203211405,52.004102289921946,50.93943866407914,53.29142701834528,51.478206882811854,68.78481771443512,1.1324520321140525,2.0041022899219456,0.939438664079141,3.2914270183452814,1.478206882811854,18.78481771443512,0.0,2.02,0.71,2013Q2,7.036868243820795,2.02,5.016868243820795,6.306254813471285,0.0
2013-Q3,6,7.036868243820795,47.380231408881706,0.7192593783454857,0.6803899695865456,0.7037116148419096,2.671465495385493,47.380231408881706,47.17499141187633,50.523002514326436,56.198560874876385,51.26655252046013,64.33676470235878,-2.6197685911182944,-2.825008588123673,0.5230025143264356,6.198560874876385,1.266552520460131,14.336764702358778,0.0,4.2,3.39,2013Q3,6.871465495385493,4.2,2.671465495385493,7.036868243820795,0.0
2013-Q4,7,6.871465495385493,48.02815050155433,0.7362243017175929,0.6766253327465339,0.7123847141291693,2.910457466900866,48.02815050155433,48.704098743141635,50.439243502705246,55.82992280197894,52.27708452863004,64.1306048310142,-1.9718494984456711,-1.2959012568583645,0.4392435027052457,5.829922801978938,2.2770845286300414,14.130604831014196,0.0,2.52,1.15,2013Q4,5.430457466900866,2.52,2.910457466900866,6.871465495385493,0.0
2014-Q1,8,5.430457466900866,49.60030054318796,0.7773890170152264,0.6438273776816704,0.7239643612818041,9.068670903085442,49.60030054318796,49.996127065360774,50.62822294041052,55.31805962050911,51.58871557756819,65.2560247679515,-0.3996994568120371,-0.003872934639225889,0.6282229404105166,5.318059620509111,1.5887155775681876,15.256024767951502,0.0,-1.22,-0.23,2014Q1,7.848670903085442,-1.22,9.068670903085442,5.430457466900866,0.0
2014-Q2,9,7.848670903085442,51.32536938356867,0.8225577132608478,0.6988669430757899,0.7730814051868247,6.527201778863411,51.32536938356867,51.616444874394325,50.07357191505554,54.02082117995345,51.52341168555146,66.97877642229923,1.3253693835686704,1.6164448743943254,0.07357191505553828,4.020821179953451,1.5234116855514586,16.978776422299234,0.0,1.82,0.76,2014Q2,8.347201778863411,1.82,6.527201778863411,7.848670903085442,0.0
2014-Q3,10,8.347201778863411,52.13064332012911,0.8436427696850233,0.7102137176523392,0.7902711488719496,2.7776948129316654,52.13064332012911,52.791666789533544,50.0052186821088,53.895689712648156,50.95160327188987,63.24285028328791,2.13064332012911,2.7916667895335436,0.005218682108797168,3.8956897126481564,0.9516032718898728,13.242850283287908,0.0,3.45,1.8,2014Q3,6.227694812931666,3.45,2.7776948129316654,8.347201778863411,0.0
2014-Q4,11,6.227694812931666,52.49338468010469,0.8531406829977726,0.6619728384523826,0.7766735451796166,7.228715074820942,52.49338468010469,53.080976051974524,50.14953803790456,50.79630507125285,50.454595368249215,63.11365803952483,2.4933846801046897,3.080976051974524,0.14953803790456277,0.7963050712528528,0.4545953682492154,13.113658039524829,0.0,0.0,-2.43,2014Q4,7.228715074820942,0.0,7.228715074820942,6.227694812931666,0.0
2015-Q1,12,7.228715074820942,53.324261119882976,0.8748961078524156,0.6847564849827826,0.7988402587045624,7.486677385705265,53.324261119882976,53.21207546908894,50.069295814616744,52.41927296595055,50.89883799538563,62.872432236643114,3.3242611198829763,3.212075469088937,0.06929581461674417,2.4192729659505474,0.8988379953856267,12.872432236643114,0.0,-0.06,-3.36,2015Q1,7.426677385705266,-0.06,7.486677385705265,7.228715074820942,0.0
2015-Q2,13,7.426677385705266,50.975326942807236,0.81339230472194,0.6892621912998727,0.7637402593531131,6.064383951489046,50.975326942807236,50.42948982438323,50.07655590867063,52.128780802608446,51.205305000506776,62.17037906637423,0.9753269428072358,0.42948982438323213,0.07655590867062756,2.1287808026084463,1.205305000506776,12.170379066374231,0.0,1.64,0.94,2015Q2,7.704383951489046,1.64,6.064383951489046,7.426677385705266,0.0
2015-Q3,14,7.704383951489046,52.025222409047934,0.8408824594880626,0.6955829107446992,0.7827626399907173,5.238024555192621,52.025222409047934,52.02227979710873,50.25577665967387,50.2654805205224,50.05029723643105,53.66739404082657,2.0252224090479345,2.0222797971087303,0.2557766596738702,0.26548052052240223,0.05029723643104944,3.667394040826572,0.0,2.33,-0.72,2015Q3,7.568024555192621,2.33,5.238024555192621,7.704383951489046,0.0
